Powers,Bands,Channels,Study,Session,Subject,Group,Normalize
0.1736974512642559,delta,C1,SRM,t1,001,SRM,1
0.08841204263046785,delta,POZ,SRM,t1,001,SRM,1
0.1369589966110437,delta,AF4,SRM,t1,001,SRM,1
0.22860010617661095,delta,CP4,SRM,t1,001,SRM,1
0.22587946355376634,delta,FC6,SRM,t1,001,SRM,1
0.3039800145744875,delta,C6,SRM,t1,001,SRM,1
0.07266557989568273,delta,P6,SRM,t1,001,SRM,1
0.08657980332687355,delta,PO3,SRM,t1,001,SRM,1
0.3150079716724096,delta,T7,SRM,t1,001,SRM,1
0.08734098344383094,delta,P7,SRM,t1,001,SRM,1
0.18985788404948065,delta,TP7,SRM,t1,001,SRM,1
0.06871142743495944,delta,O1,SRM,t1,001,SRM,1
0.1817545582629665,delta,CP6,SRM,t1,001,SRM,1
0.23159441524998473,delta,CP5,SRM,t1,001,SRM,1
0.1388233258643473,delta,TP8,SRM,t1,001,SRM,1
0.06180852656988608,delta,PO4,SRM,t1,001,SRM,1
0.1437097424924465,delta,F2,SRM,t1,001,SRM,1
0.05327532226193684,delta,O2,SRM,t1,001,SRM,1
0.20276420244955812,delta,FC1,SRM,t1,001,SRM,1
0.2915419598429232,delta,F7,SRM,t1,001,SRM,1
0.13755439141716658,delta,P4,SRM,t1,001,SRM,1
0.16485234587469538,delta,C3,SRM,t1,001,SRM,1
0.20053260284321647,delta,CPZ,SRM,t1,001,SRM,1
0.14744466759418223,delta,FZ,SRM,t1,001,SRM,1
0.17259138721556305,delta,P2,SRM,t1,001,SRM,1
0.2718190798244926,delta,FP1,SRM,t1,001,SRM,1
0.22736886873551962,delta,FPZ,SRM,t1,001,SRM,1
0.1583407401244893,delta,F1,SRM,t1,001,SRM,1
0.054501244801991734,delta,P8,SRM,t1,001,SRM,1
0.19228763640578822,delta,PZ,SRM,t1,001,SRM,1
0.06826777445468867,delta,OZ,SRM,t1,001,SRM,1
0.20433290132042328,delta,P1,SRM,t1,001,SRM,1
0.144597523805939,delta,C2,SRM,t1,001,SRM,1
0.07667958205677673,delta,PO7,SRM,t1,001,SRM,1
0.12688434451878008,delta,FC4,SRM,t1,001,SRM,1
0.1619450162844658,delta,FCZ,SRM,t1,001,SRM,1
0.14918268009475688,delta,P3,SRM,t1,001,SRM,1
0.2772166483853033,delta,F8,SRM,t1,001,SRM,1
0.29570928762756205,delta,F5,SRM,t1,001,SRM,1
0.3019119184787035,delta,C5,SRM,t1,001,SRM,1
0.14904903913195292,delta,AF3,SRM,t1,001,SRM,1
0.1379607827455586,delta,F4,SRM,t1,001,SRM,1
0.22810815596800801,delta,CP2,SRM,t1,001,SRM,1
0.2422404616768366,delta,FC5,SRM,t1,001,SRM,1
0.36445692093039983,delta,T8,SRM,t1,001,SRM,1
0.10801243447511494,delta,P5,SRM,t1,001,SRM,1
0.15943782647338478,delta,F6,SRM,t1,001,SRM,1
0.18149929992586802,delta,FC3,SRM,t1,001,SRM,1
0.1613708776676226,delta,F3,SRM,t1,001,SRM,1
0.14788733283423336,delta,FC2,SRM,t1,001,SRM,1
0.3212923631701284,delta,CP3,SRM,t1,001,SRM,1
0.2109981146225114,delta,CP1,SRM,t1,001,SRM,1
0.19290305030987934,delta,C4,SRM,t1,001,SRM,1
0.05117026976455576,delta,PO8,SRM,t1,001,SRM,1
0.2463840020414881,delta,FP2,SRM,t1,001,SRM,1
0.16285540584169894,delta,CZ,SRM,t1,001,SRM,1
0.062096390918354664,theta,C1,SRM,t1,001,SRM,1
0.05701024836544249,theta,POZ,SRM,t1,001,SRM,1
0.06153953269043922,theta,AF4,SRM,t1,001,SRM,1
0.0920835242317098,theta,CP4,SRM,t1,001,SRM,1
0.07797062586453443,theta,FC6,SRM,t1,001,SRM,1
0.10043018810170362,theta,C6,SRM,t1,001,SRM,1
0.04775422129549459,theta,P6,SRM,t1,001,SRM,1
0.0547122429505065,theta,PO3,SRM,t1,001,SRM,1
0.11400188778433926,theta,T7,SRM,t1,001,SRM,1
0.07489216822262043,theta,P7,SRM,t1,001,SRM,1
0.10949369587231016,theta,TP7,SRM,t1,001,SRM,1
0.03876520602295273,theta,O1,SRM,t1,001,SRM,1
0.07644771450322492,theta,CP6,SRM,t1,001,SRM,1
0.10735859277056975,theta,CP5,SRM,t1,001,SRM,1
0.06379213199727508,theta,TP8,SRM,t1,001,SRM,1
0.04425035211599244,theta,PO4,SRM,t1,001,SRM,1
0.06199814876781822,theta,F2,SRM,t1,001,SRM,1
0.03526842606828383,theta,O2,SRM,t1,001,SRM,1
0.06302234568808225,theta,FC1,SRM,t1,001,SRM,1
0.09424414377809742,theta,F7,SRM,t1,001,SRM,1
0.06605095445382106,theta,P4,SRM,t1,001,SRM,1
0.061150409860333786,theta,C3,SRM,t1,001,SRM,1
0.07602629722679168,theta,CPZ,SRM,t1,001,SRM,1
0.06142651346928959,theta,FZ,SRM,t1,001,SRM,1
0.08225016780490639,theta,P2,SRM,t1,001,SRM,1
0.07976608052237473,theta,FP1,SRM,t1,001,SRM,1
0.07281491090899202,theta,FPZ,SRM,t1,001,SRM,1
0.05986581820509747,theta,F1,SRM,t1,001,SRM,1
